view_id,original,edited,question,label_correct,fluent,note
16,"We have taught that homosexuality is an abomination, and how it is a felony in every state in our union (Leviticus 18:22; 20:13; Jude 1:7).","We have taught that  , and how it is a homosexuality is an abomination felony in every state in our union (Leviticus 18:22; 20:13; Jude 1:7).",Is Slogans still PRESENT after moving its span?,,,
17,,"Reuters reports on Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews. Being Jewish is highly identified with being white because of Zionism  the caravan.",Is Flag_Waving PRESENT in the edited text?,,,
18,Top Florida County Election Official Illegally Let People Vote Over Fax & Email,Top Florida Election County Official Illegally Let People Vote Over Fax & Email,"Are all original techniques still present, unchanged? ()",,,
19,One can only speculate as to what the reasons for these lies actually are?,,Is Doubt ABSENT in the edited text?,,,
20,"Will none of the hierarchs rise to defend the Church as “a new Athanasius, a new Basil”? Even the best among them continue to limit themselves to generalized lamentations at conferences or in interviews about the parlous state of the Church or at most the “confusion” Francis has caused by not “clarifying” precisely what he has just clarified. They avoid the absolutely necessary direct and public exposure of error at its source. That error threatens to overwhelm the Church while they do little more than fret about a situation whose self-evident cause—a reckless Pope in love with his own ideas and filled with contempt for Tradition—they seem incapable of identifying.","Will none of a reckless Pope in love with his own ideas and filled with contempt for Tradition— the hierarchs rise to defend the Church as “a new Athanasius, a new Basil”? Even the best among them continue to limit themselves to generalized lamentations at conferences or in interviews about the parlous state of the Church or at most the “confusion” Francis has caused by not “clarifying” precisely what he has just clarified. They avoid the absolutely necessary direct and public exposure of error at its source. That error threatens to overwhelm the Church while they do little more than fret about a situation whose self-evident cause— they seem incapable of identifying.",Is Name_Calling-Labeling still PRESENT after moving its span?,,,
21,,"Among the counties in question is Broward, which emerged as the epicenter of controversy as three statewide races and three local legislative races went into recounts following the Nov. 6 elections. Republicans huge concern for many  have pointed to embattled Broward Elections chief Brenda Snipes’ record of past election gaffes in arguing that the largely Democratic country is tilted against them — perhaps fraudulently so.",Is Appeal_to_Popularity PRESENT in the edited text?,,,
22,"“Things are starting to go in the right direction,” Saucier said. “I work with a group of really great people, I get to use my skills set.”","“Things use starting to go in the right direction,” Saucier said. “I work with a group of really great people, I get to are my skills set.”","Are all original techniques still present, unchanged? ()",,,
23,These groups of people are simply enemies of the cross of Christ and know not the power of God unto salvation (Philippians 3:18)., Where is Berg's blog post on that?  (Philippians 3:18).,Is Doubt PRESENT and Causal_Oversimplification absent?,,,
24,"Marie Collins, the Irish abuse survivor and Commission member who resigned, citing the Vatican’s refusal to take meaningful action, told AP, “When we gave him [O’Malley] the letter for the pope, he assured us he would give it to the pope and speak of the concerns. And at a later date, he assured us that that had been done.” Juan Carlos Cruz, the Karadima victim whose membership on the Commission the Vatican had blocked, told AP, “Cardinal O’Malley called me after the pope’s visit here in Philadelphia and he told me, among other things, that he had given the letter to the pope – in his hands.”","Marie Collins, the Irish abuse survivor and Commission member who resigned, citing the Vatican’s refusal to take meaningful action, told AP, “When we gave him [O’Malley] the letter for the pope, he assured us he would give it to the pope and speak of the concerns. And at a later date, he assured us that that had been done.” Juan Carlos Cruz, the Karadima victim whose membership on the Commission the Vatican had blocked, told AP, “Cardinal O’Malley called me after the pope’s visit here in Philadelphia and he told me, among other things, that he had given the letter to the pope –  .”",Is Repetition ABSENT in the edited text?,,,
25,,"McLetchie has been trying to obtain as much I had no way to see into his mind  information for the public as possible, including video of Paddock at the Mandalay Bay Hotel and Casino.",Is Conversation_Killer PRESENT in the edited text?,,,
26,"“When the Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns, it needlessly endangered our children, our loved ones and our men and women in law enforcement,” Becerra said in a statement. “The Trump Administration’s actions were dangerous and incompetent.”","“When the Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns, it needlessly endangered  It's the same reason that he is judging America today (Amos 4:12), He cannot find the righteous in order to spare her ,” Becerra said in a statement. “The Trump Administration’s actions were dangerous and incompetent.”",Is Causal_Oversimplification PRESENT and Flag_Waving absent?,,,
27,,"Email “Why is it so easy for our state to jail Tommy Robinson, when it is so difficult to jail a group of men found with an underage girl in a bedroom?  *",Is Appeal_to_Hypocrisy PRESENT in the edited text?,,,
28,"The only compelling “expression of the Church’s pastoral concern for the young” belongs in the full and transparent cooperation of criminal investigations into predatory homosexual predation. Turn over the documents secret archives involving predation, both in the Vatican and in the chanceries around the globe.","The only compelling “expression of the Church’s pastoral concern for the young” belongs in the full and transparent cooperation of criminal investigations into  The enemy to great power is not the likes of the Taliban, it is us . Turn over the documents secret archives involving predation, both in the Vatican and in the chanceries around the globe.",Is Whataboutism PRESENT and Loaded_Language absent?,,,
29,"Writing to me in English, by way of introductory comments in their longer analysis of the document that will be forthcoming, Sister T, fully professed and a senior member of the monastery’s council, said, “The Cor Orans document is the death-knell of Carmel. It signals the end of the contemplative monastic life. Not only does it destroy the autonomy of the Monasteries, something Our Holy Mother St. Teresa was extremely insistent about, but it also removes the Superior, dissolves her authority and power, removes the financial independence of each Monastery, and destroys the specificity of each charism.","Writing to me in English, by way of introductory comments in their longer analysis of the document that will be forthcoming, Sister T, fully professed and a senior member of the monastery’s council, said, “The Cor Orans document is the   of Carmel. It signals the end of the contemplative monastic life. Not only does it destroy the autonomy of the Monasteries, something Our Holy Mother St. Teresa was extremely insistent about, but it also removes the Superior, dissolves her authority and power, removes the financial independence of each Monastery, and destroys the specificity of each charism.",Is Loaded_Language PRESENT in the edited text?,,,
30,"As Miller put it, she was “directly involved in its controversial interrogation program” and had an “extensive role” in torturing detainees. Even more troubling, she “had run a secret prison in Thailand” — part of the CIA’s network of “black sites” — “where two detainees were subjected to waterboarding and other harsh techniques.” The Senate Intelligence Committee’s report on torture also detailed the central role she played in the particularly gruesome torture of detainee Abu Zubaydah.","As Miller put it, she was “directly involved in its controversial interrogation program” and had an “extensive role” in torturing detainees. Even more troubling, she “had run a secret prison in Thailand” — part of the CIA’s network of “black sites” — “where two detainees were subjected to waterboarding and other  President Trump then reminded everyone of the Obama administration’s failures in dealing with Russian meddling in the election .” The Senate Intelligence Committee’s report on torture also detailed the central role she played in the particularly gruesome torture of detainee Abu Zubaydah.",Is Whataboutism PRESENT and Loaded_Language still present?,,,
31,"When Prime Minister Theresa May, who was the head of the Home Office when she banned us and was thus directly responsible for the ban, threw us under the bus in order to satiate savages who threatened violence, did she really think she or anyone would be safe?","When Prime Minister Theresa May, who was the head of the Home Office when she banned us and was thus directly responsible for the ban, threw us under the bus in order to satiate savages who threatened violence,  Americans are so unaware that they have no idea of the risk that President Trump is taking by challenging the US military security complex ",Is Flag_Waving PRESENT and Doubt absent?,,,
32,Deep State Insurrection Defying POTUS Trump’s Order,Defying Deep State Insurrection POTUS Trump’s Order,Is Name_Calling-Labeling still PRESENT after moving its span?,,,
33,© Claudio Reyes/AFP/Getty Images Catholic Church deals with sex abuse fallout,© Claudio Reyes/AFP/Getty Images Catholic abuse deals with sex Church fallout,"Are all original techniques still present, unchanged? ()",,,
34,"But one goal behind report's release, according to an official familiar with its contents, is to make clear that the US is not likely to be open to exemptions of any kind.","But one goal behind report's release, according to clear official familiar with its contents, is to make an that the US is not likely to be open to exemptions of any kind.","Are all original techniques still present, unchanged? ()",,,
35,"The Board’s ruling, which is called a “reference,” was then referred to SSMU’s directors for ratification. SSMU’s Board of Directors addressed the issue more than a year after the “reference.” Lew and other board members passionately advocated in favor of ratification and their arguments ultimately prevailed over the naysayers. The malevolent BDS campaign at McGill had belatedly come to an ignominious end; or so we thought.","The Board’s ruling, which is called a “reference,” was then referred to the directors for ratification. SSMU’s Board of Directors addressed the issue more than a year after SSMU’s “reference.” Lew and other board members passionately advocated in favor of ratification and their arguments ultimately prevailed over the naysayers. The malevolent BDS campaign at McGill had belatedly come to an ignominious end; or so we thought.","Are all original techniques still present, unchanged? (Loaded_Language, Name_Calling-Labeling)",,,
36,Pro-Sharia Democrat Congressional Candidate Ilhan Omar Defends Tweet On “Evil Doings Of Israel”,Pro-Sharia Candidate Congressional Democrat Ilhan Omar Defends Tweet On “Evil Doings Of Israel”,"Are all original techniques still present, unchanged? (Loaded_Language)",,,
37,,"Should Jim Acosta homosexuality was the reason God poured fiery sulfur on the cities, completely destroying them and all of their inhabitants  have gotten his press pass back? Should Jim Acosta have gotten his press pass back?",Is Causal_Oversimplification PRESENT in the edited text?,,,
38,"Did Christian martyrs violate God’s principles of submission to authority? Of course, not.","Did Christian martyrs violate God’s principles of submission to authority?  The enemy to great power is not the likes of the Taliban, it is us .",Is Whataboutism PRESENT and Loaded_Language absent?,,,
39,,Now the fear  DOJ is looking into Schaaf.,Is Appeal_to_Fear-Prejudice PRESENT in the edited text?,,,
40,"Name This field is for validation purposes and should be left unchanged. Completing this poll grants you access to Freedom Outpost updates free of charge. You may opt out at anytime. You also agree to this site's Privacy Policy and Terms of Use. The boy told agents that Ibn Wahhaj trained him and another of Leveille’s teenage sons in firearms and military techniques, including rapid reloads and hand-to-hand combat, and told them jihad meant killing non-believers on behalf of Allah, according to the affidavit filed in U.S. District Court in New Mexico. […] Defense lawyers have said that the five adults were exercising their constitutional rights to practice their religion and own firearms, and that the group is being discriminated against because they are black and Muslim. The defense attorneys could not immediately be reached for comment on Saturday.","Name This field is for validation purposes and should be left unchanged. Completing jihad meant killing non-believers on behalf of Allah this poll grants you access to Freedom Outpost updates free of charge. You may opt out at anytime. You also agree to this site's Privacy Policy and Terms of Use. The boy told agents that Ibn Wahhaj trained him and another of Leveille’s teenage sons in firearms and military techniques, including rapid reloads and hand-to-hand combat, and told them  , according to the affidavit filed in U.S. District Court in New Mexico. […] Defense lawyers have said that the five adults were exercising their constitutional rights to practice their religion and own firearms, and that the group is being discriminated against because they are black and Muslim. The defense attorneys could not immediately be reached for comment on Saturday.",Is Loaded_Language still PRESENT after moving its span?,,,
41,,take our poll - story continues below great big important point ,Is Exaggeration-Minimisation PRESENT in the edited text?,,,
42,"Former Secretary of State John Kerry wasted no time condemning President Trump’s decision not to recertify, and to possibly withdraw from, the disastrous nuclear deal with Iran that Kerry negotiated on behalf of his boss Barack Obama. President Trump insisted on significant improvements to the Joint Plan of Comprehensive Action (JCPOA), as the deal is formally known. The JCPOA’s fundamental flaws that President Trump wants fixed include Iran’s ability to block unfettered international inspections, the wiggle room that Iran is exploiting to continue developing and testing ballistic missiles capable of delivering nuclear weapons, and the sunset clause on nuclear enrichment that would provide Iran a clear path to becoming a nuclear armed state after the current restrictions are lifted. Obama and Kerry had promised that these issues would be dealt with satisfactorily before agreeing to the final terms of the JCPOA. Instead they caved to Iranian pressure in order to get the deal done.","Former Secretary of State John Kerry wasted no time condemning President Trump’s decision not to recertify, and to possibly withdraw from, the   with Iran that Kerry negotiated on behalf of his boss Barack Obama. disastrous nuclear deal President Trump insisted on significant improvements to the Joint Plan of Comprehensive Action (JCPOA), as the deal is formally known. The JCPOA’s fundamental flaws that President Trump wants fixed include Iran’s ability to block unfettered international inspections, the wiggle room that Iran is exploiting to continue developing and testing ballistic missiles capable of delivering nuclear weapons, and the sunset clause on nuclear enrichment that would provide Iran a clear path to becoming a nuclear armed state after the current restrictions are lifted. Obama and Kerry had promised that these issues would be dealt with satisfactorily before agreeing to the final terms of the JCPOA. Instead they caved to Iranian pressure in order to get the deal done.",Is Loaded_Language still PRESENT after moving its span?,,,
43,,"The information was sent on Nov. 9 by Bradley McVay, DOS’ interim hello, Russian proxy war)  general counsel, who asked that the altered dates be investigated.",Is Red_Herring PRESENT in the edited text?,,,
44,,"The mullahs have become cognizant of the fact that there’s a new sheriff in town, one that backs up tough talk with action and doesn’t ask “how high” when they My biggest concern is all the damage that this did to the U.S. government [and] the mockery it made out of the Constitution and all of the wrongdoing that was done by various officials within the Department of Justice, the FBI and the DNC [Democratic National Committee  say “jump.” Clearly, the IRGC’s new docile posture in the Arabian Gulf is a direct consequence of this realization.",Is Flag_Waving PRESENT in the edited text?,,,
45,"Yesterday, the alternative media purge was boldly advanced in a coordinated effort to silence people who dissent from establishment views. It’s just one more step toward a monopoly on information by those who hate freedom. At this rate, they’ll soon have unquestioned access to the minds of more than 2 billion people. And this should terrify everyone who wants to be free to question the status quo and to seek a wide range of information.","Yesterday, the alternative those who hate freedom media purge was boldly advanced in a coordinated effort to silence people who dissent from establishment views. It’s just one more step toward a monopoly on information by  . At this rate, they’ll soon have unquestioned access to the minds of more than 2 billion people. And this should terrify everyone who wants to be free to question the status quo and to seek a wide range of information.",Is Repetition still PRESENT after moving its span?,,,
46,The American “Gay” Church Expansion,The American “Gay” Church Expansion,Is Name_Calling-Labeling still PRESENT after moving its span?,,,
47,Puerto Rico’s Power Grid Failure Is Causing A Public Health Crisis Of Epic Proportions,Puerto Rico’s Power Grid Failure Is Causing A Public Health,Is Loaded_Language ABSENT in the edited text?,,,
48,"Trump took keen interest in the pageantry of the day, insisting the pictures beamed around the world reflect a commanding leader making a decisive, world-altering move. At the same time, he'd admitted he didn't believe he required extensive preparation to take stock of Kim.","Trump took keen interest in the pageantry of the day, insisting the pictures beamed around the world reflect a   making a decisive, world-altering move. At the same time, he'd admitted he didn't believe he required extensive preparation to take commanding leader stock of Kim.",Is Name_Calling-Labeling still PRESENT after moving its span?,,,
49,"“That email was subsequently forwarded by two Google VP’s to more staff members throughout the company,” says Carlson, adding “In her email, Mario touts Google’s multi-faceted efforts to boost Hispanic turnout in the election. She noticed that Latino voters did record-breaking numbers, especially in states like Florida, Nevada and Arizona – the last of which she describes as “a key state for us.” She brags that the company used its power to ensure that millions of people saw certain hashtags and social media impressions, with the goal of influencing their behavior during the election.”","“That email was subsequently forwarded by two Google VP’s to more staff members throughout the company,” says Carlson, adding “In her email,  Unlike Stalin’s trials of the old Bolsheviks, and Fidel Castro’ trial of General Arnaldo Ochoa, this show trial aimed to establish innocence for the guilty, and the dynamics of the left were on full display  to boost Hispanic turnout in the election. She noticed that Latino voters did record-breaking numbers, especially in states like Florida, Nevada and Arizona – the last of which she describes as “a key state for us.” She brags that the company used its power to ensure that millions of people saw certain hashtags and social media impressions, with the goal of influencing their behavior during the election.”",Is Guilt_by_Association PRESENT and Loaded_Language still present?,,,
50,"As an outsider, a regular Joe American, this is what I see: Trump nominates a very well known, well-established judge to the supreme court. Immediately every Democrat publicly stated that they would vote No for his confirmation. On the other hand, every Republican publicly stated that they would vote Yes.","As an outsider, a  Christian identity of Hungary and Europe , this is what I see: Trump nominates a very well known, well-established judge to the supreme court. Immediately every Democrat publicly stated that they would vote No for his confirmation. On the other hand, every Republican publicly stated that they would vote Yes.",Is Repetition PRESENT and Name_Calling-Labeling absent?,,,
51,"Furthermore, Iran has funded and armed its terrorist proxy Hezbollah, which has sent its militia from its home base of Lebanon to fight alongside Assad's forces. And Iran has used Syria as a transit point for shipment of sophisticated rockets to Hezbollah in Lebanon for future use against Israeli population centers. Despite the fact that Hezbollah has American blood on its hands, the U.S.-led coalition has chosen not to do anything about Hezbollah’s presence in Syria, bought and paid for by Iran.","Furthermore, Iran has funded and armed its terrorist proxy Hezbollah, which has sent its militia from its home base of Lebanon to fight alongside Assad's forces. And Iran has used Syria as a transit point for shipment of sophisticated rockets to Hezbollah in Lebanon for future use against Israeli population centers. Despite the fact that Hezbollah has   on its hands, the U.S.-led coalition has chosen not to do anything about Hezbollah’s presence in Syria, bought and paid for by Iran.",Is Flag_Waving ABSENT in the edited text?,,,
52,This kind of behavior is not acceptable for anyone in a civilized society – and that goes double for someone that is supposed to be one of the leaders of our nation.,This kind of behavior is not acceptable for anyone in a civilized and that goes double for someone that is supposed to be one of the leaders of our nation society –  .,Is Flag_Waving still PRESENT after moving its span?,,,
53,"""What’s wrong with me?"" I laughingly replied. I said, ""Mom, when I was in the rock n roll world doing the things that I was doing, nobody said anything, and no one had a problem with what I was doing, that is until I started to emulate (obey) Jesus Christ"" (1 John 2:6).","""What’s wrong with me?"" I laughingly replied. I said, ""Mom, when I was in the rock n roll world doing the things that I was doing, nobody said anything, and John one had a problem with what I was doing, that is until I started to emulate (obey) Jesus Christ"" (1 no 2:6).","Are all original techniques still present, unchanged? (Name_Calling-Labeling)",,,
54,"“We don’t want to put them on a ship back unless someone has had chance to look at if there’s a really bad situation for them,” Saris said. “That’s my concern.”","“We don’t want to put them on a ship back unless someone has had chance to look at if there’s a really bad situation for them,” Saris said. “ who masterminded the 1993 World Trade Center .”",Is Guilt_by_Association PRESENT and Conversation_Killer absent?,,,
55,,"First, it was reported that cherished long-secret records  Ford would answer questions, but only at a closed hearing and only after an FBI investigation had been completed.",Is Loaded_Language PRESENT in the edited text?,,,
56,The American Jewish Historical Society appears to be uninterested in holding any pro-Israel events. It’s uninterested in partnering with pro-Israel groups. Instead it’s providing a forum for a BDS hate group.,The American Jewish Historical Society appears to be uninterested in holding forum pro-Israel events. It’s uninterested in partnering with pro-Israel groups. Instead it’s providing a any for a BDS hate group.,"Are all original techniques still present, unchanged? ()",,,
57,"Brian Kemp, her Republican challenger, issued a statement a day earlier calling for Abrams to concede. Kemp has declared victory and said it is “mathematically impossible” for her campaign to force a runoff.","Brian Kemp, her Republican challenger, issued a statement a day earlier calling for Abrams concede. to Kemp has declared victory and said it is “mathematically impossible” for her campaign to force a runoff.","Are all original techniques still present, unchanged? ()",,,
58,,Malcolm X wasn’t adequately afraid of them. Here’s “kill them wherever you find them.”  what happened to him:,Is Repetition PRESENT in the edited text?,,,
59,,"“The president was expressing his opinion on his favored medium for asserting his control  First Amendment right of free speech,” Giuliani said in an interview. “He said ‘should,’ not ‘must,’ and no presidential order was issued or will be.”",Is Repetition PRESENT in the edited text?,,,
60,"However, scientists warned that it should not be assumed that the ultra-cooling of the sun would potentially prevent the negative effects of global warming.","However, scientists warned that it should not be assumed that the global of the sun would potentially prevent the negative effects of ultra-cooling warming.","Are all original techniques still present, unchanged? ()",,,
61,"During World War II Cardinal Jozsef Mindszenty was a huge critic of fascism and wound up in prison. In Oct. 1945 he became head of the Church in Hungary and spoke out just as strongly against Communist oppression. He wound up back in prison for eight more years, including long periods of solitary confinement and endured other forms of torture. In 1949 he was sentenced to life in a show trial that generated worldwide condemnation.","During World War II Cardinal Jozsef Mindszenty was a huge critic of fascism generated worldwide condemnation and wound up in prison. In Oct. 1945 he became head of the Church in Hungary and spoke out just as strongly against Communist oppression. He wound up back in prison for eight more years, including long periods of solitary confinement and endured other forms of torture. In 1949 he was sentenced to life in a show trial that  .",Is Exaggeration-Minimisation still PRESENT after moving its span?,,,
62,,"Unfortunately, But don’t nobody ever ask what did they do to Hitler  in the end, it amounts to the same thing.",Is Whataboutism PRESENT in the edited text?,,,
63,"We receive our rights from God, and in turn, delegate power to those who serve “We the People.”","We receive our rights from God, and in the delegate power to those who serve “We turn, People.”","Are all original techniques still present, unchanged? ()",,,
64,Email *,* Email,"Are all original techniques still present, unchanged? ()",,,
