view_id,original,edited,question,label_correct,fluent,note
10,"The new wave of allegations has called Pope Francis’s handling of abuse into question as many Catholics look to him to help the church regain its credibility. The pope’s track record has been mixed, something some outsiders attribute to his learning curve or shortcomings and others chalk up to resistance from a notoriously change-averse institution.","The new wave of allegations has called Pope Francis’s handling of abuse into question as many Catholics look to him to help the church regain its credibility. The pope’s track record has been mixed, something some outsiders attribute to his learning curve or shortcomings and others chalk up to resistance from.",Is Name_Calling-Labeling ABSENT from the edited text?,,,
11,"Over the past week, Trump and Corker have been involved in an ugly public fight precipitated by Corker’s announcement that he will not be seeking reelection next year.","Over the past week, Trump and Corker have been involved in an ugly public fight we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis precipitated by Corker’s announcement that he will not be seeking reelection next year.",Is Flag_Waving PRESENT in the edited text?,,,
12,"But there has to be a reason why the CIA chose to keep this particular batch of records secret for more than 50 years. Those long-secret records undoubtedly include small bits of important circumstantial evidence that fill out even further the mosaic of a regime-change operation that took place in Dallas in November 1963, the same types of regime-change operation that took place in Iran in 1953, Guatemala in 1954, Cuba in 1960-1963, Congo in 1961, and Chile in 1973, all of which the CIA steadfastly kept secret from the American people.","But there has to be a reason why the CIA chose to keep this particular batch of records secret for more than 50 years. Those long-secret records undoubtedly include small bits of important circumstantial evidence that fill out even further the mosaic of a regime-change operation that took place in Dallas in November 1963, the same types of regime-change operation that took place in Iran in 1953, Guatemala in 1954, Cuba in 1960-1963, Congo in 1961, and Chile in 1973, all of which.",Is Flag_Waving ABSENT from the edited text?,,,
13,"HANNITY: Breaking news tonight, the Hills John Solomon, investigative reporter Sara Carter, they released bombshell reports equally tonight. Solomon reporting according to the memos obtained, the FBI informant that now has had his NDA lifted at the center of this case gathered years and years of evidence of Russia’s plot to control U.S. Nuclear fuel, which included the uranium one deal. And Sara Carter reporting that she has received a treasure trove of documents that in fact prove tonight the FBI informant has knowledge of Russia’s involvement in uranium one. Also joining us now is the attorney for the FBI informant, Victoria Toensing along with John and Sara. Sara, let’s start with your report. A treasure trove, that is huge.","HANNITY: Breaking news tonight, the Hills John Solomon, investigative reporter Sara Carter, they released bombshell reports equally tonight. Solomon reporting according to the memos obtained, the FBI informant that now has had his NDA lifted at the center of this case gathered years and years of evidence of Russia’s plot to U.S. Nuclear fuel, which included the uranium one deal. And Sara Carter reporting that she has received a treasure trove of documents that in fact prove tonight the FBI informant has knowledge of Russia’s involvement in uranium one. Also joining us now is the attorney for the FBI informant, Victoria Toensing along with John and Sara. Sara, let’s start with your report. A treasure trove, that is huge.",Is Repetition ABSENT from the edited text?,,,
14,"What of the New Testament? John the Baptist points out all of the evils of King Herod (Luke 3:19). Was this a violation of submission to civil government? No, it was a rebuke to corruption in government to submit to the God of Abraham, Isaac and Jacob and His laws.","What of the New Testament? John the Baptist points out of King Herod (Luke 3:19). Was this a violation of submission to civil government? No, it was a rebuke to corruption in government to submit to the God of Abraham, Isaac and Jacob and His laws.",Is Loaded_Language ABSENT from the edited text?,,,
15,"According to the Hungarian Government's website, posted about the ultimatum that was given over the weekend.","According to the Hungarian Government's website, posted about the ultimatum that was given over the weekend. The authorities recorded more than 2 000 cases,",Are the techniques unchanged by the edit? Original techniques: none,,,
16,"There are two conflicting timelines of Campos’s injury, but what the media has so far made clear, is that they want the public to believe Campos was walking down the Mandalay Bay Hotel & Casino’s 32nd floor hallway, when Stephen Paddock spotted him on a camera he’d allegedly set up in a room service cart, just outside his suite. Once he saw Campos, Paddock reportedly fired nearly 200 rounds through his suite door, wounding Campos in the leg. Moments later (6 minutes actually, according to the newly revised timeline regarding Campos) Paddock allegedly opened fire on a crowd killing more than 50 and injuring nearly 500.","There are two conflicting timelines of Campos’s injury, but what the media has so far made clear, is that I ruined my life Campos was walking down the Mandalay Bay Hotel & Casino’s 32nd floor hallway, when Stephen Paddock spotted him on a camera he’d allegedly set up in a room service cart, just outside his suite. Once he saw Campos, Paddock reportedly fired nearly 200 rounds through his suite door, wounding Campos in the leg. Moments later (6 minutes actually, according to the newly revised timeline regarding Campos) Paddock allegedly opened fire on a crowd killing more than 50 and injuring nearly 500.",Is Conversation_Killer PRESENT and Doubt ABSENT in the edited text?,,,
17,"not preparing for a confrontation with Islam, to which St. John Paul II has called them (Ecclesia in Europa, No. 57). We are under the impression that you do not take your brother Bishop Nona Amel, Chaldean-Catholic Archbishop of Mosul in exile, seriously, when he tells us: “Our present sufferings are the prelude to those that you, Europeans and Western Christians, will suffer in the near future. I have lost my diocese. The headquarters of my archdiocese and my apostolate have been occupied by radical Islamists who want us to convert or die. (…) You are welcoming into your country an ever increasing number of Muslims. You are in danger as well. You must make strong and courageous decisions (…). You think that all men are equal, but Islam does not say that all men are equal. (…) If you do not understand this very quickly, you will become the victims of the enemy that you have invited into your home.” (August 9, 2014) “. This is a matter of life and death, and any complacency towards Islam is treasonous. We do not wish the West to continue with Islamization, nor that your actions contribute to it. Where then would we go to seek refuge?","not preparing for a confrontation with Islam, to which St. John Paul II has called them (Ecclesia in Europa, No. 57). We are under the impression that you do not take your brother Bishop Nona Amel, Chaldean-Catholic Archbishop of Mosul in exile, seriously, when he tells us: “Our present sufferings are the prelude to those that you, Europeans and Western Christians, will suffer in the near future. I have lost my diocese. Trump can be assassinated or overthrown in a political coup for selling out America to Russia. (…) You are welcoming into your country an ever increasing number of Muslims. You are in danger as well. You must make strong and courageous decisions (…). You think that all men are equal, but Islam does not say that all men are equal. (…) If you do not understand this very quickly, you will become the victims of the enemy that you have invited into your home.” (August 9, 2014) “. This is a matter of life and death, and any complacency towards Islam is treasonous. We do not wish the West to continue with Islamization, nor that your actions contribute to it. Where then would we go to seek refuge?",Is Flag_Waving PRESENT and False_Dilemma-No_Choice ABSENT in the edited text?,,,
18,"They can damage parts of the ear such as hairs that pick up sounds, but again it is reported that large equipment would be needed for such an attack.","They can damage parts of the ear such as hairs that pick up sounds, but again it is reported that large equipment would be needed for such an attack. the Democrats are likewise working feverishly to overturn the will of the people",Is Flag_Waving PRESENT in the edited text?,,,
19,"Douglas Haig, a 55-year-old Honeywell engineer, sold more than 700 rounds of ammunition to Las Vegas mass murderer Stephen Paddock in September. Haig's name was inadvertently revealed this week when unredacted court documents were released to reporters. Search warrant records showed that Haig was a person of interest in the investigation of the mass shooting.","Douglas Haig, a 55-year-old Honeywell engineer, sold more than 700 rounds of ammunition to Stephen Paddock in September. Haig's name was inadvertently revealed this week when unredacted court documents were released to reporters. Search warrant records showed that Haig was a person of interest in the investigation of the mass shooting.",Is Name_Calling-Labeling ABSENT from the edited text?,,,
20,"If Putin, Lavrov, the Russian government, the traitorous Russian Fifth Column—the Atlanticist Integrationists—the Chinese, the Iranians, the North Koreans think that any peace or consideration can come out of America, they are insane. Their delusions are setting themselves up for destruction. There is no institution in America, government or private, that can be trusted. Any government or person who trusts America or any Western country is stupid beyond belief.","If Putin, Lavrov, the Russian government, the traitorous Russian Fifth Column—the Atlanticist Integrationists—the Chinese, the Iranians, the North Koreans think that any peace or consideration can come out of America, they are insane. Their delusions are setting themselves up for destruction. There is no institution in America, government or private, that can be trusted. Any government or any Western country is stupid beyond belief.","Are the techniques unchanged by the edit? Original techniques: Loaded_Language, Name_Calling-Labeling",,,
21,"Swedish PM does not rule out use of army to end gang violence JANUARY 17, 2018 / 9:06 AM / A DAY AGO Reuters Staff STOCKHOLM (Reuters) – Sweden will do whatever it takes, including sending in the army, to end a wave of gang violence that has seen a string of deadly shootings, Prime Minister Stefan Lofven said in Wednesday. Sweden’s murder rate is relatively low in international terms, but gang violence has surged in recent years and Swedes are worried that the police are unable to cope. … Four people were shot dead in the first week of this year. One man died after picking up a hand grenade outside a subway station in a suburb of Stockholm. Law and order is likely to be a major issue in a parliamentary election scheduled for September with the populist, opposition Sweden Democrats linking public concern about the rising crime rate to a large increase in the numbers of immigrants. … “People are shot to death in pizza restaurants, people are killed by hand grenades they find on the street,” Sweden Democrat leader Jimmie Akesson said in parliament on Wednesday. “This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly … have fought to create for so many years,” he said sarcastically.","Swedish PM does not rule out use of army to end gang violence JANUARY 17, 2018 / 9:06 AM / A DAY AGO Reuters Staff STOCKHOLM (Reuters) – Sweden will do whatever it takes, including sending in the army, to end a wave of gang violence that has seen a string of deadly shootings, Prime Minister Stefan Lofven said in Wednesday. Sweden’s murder rate is relatively low in international terms, but gang violence has surged in recent years and Swedes are worried that the police are unable to cope. … Four “It has been a long time since we have seen the plague in an urban environment were shot dead in the first week of this year. One man died after picking up a hand grenade outside a subway station in a suburb of Stockholm. Law and order is likely to be a major issue in a parliamentary election scheduled for September with the populist, opposition Sweden Democrats linking public concern about the rising crime rate to a large increase in the numbers of immigrants. … “People are shot to death in pizza restaurants, people are killed by hand grenades they find on the street,” Sweden Democrat leader Jimmie Akesson said in parliament on Wednesday. “This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly … have fought to create for so many years,” he said sarcastically.",Is Appeal_to_Authority PRESENT and Repetition ABSENT in the edited text?,,,
22,Madagascar Hospitals On High Alert: ‘No One Is Safe’ From The Black Plague,Madagascar Hospitals On High Alert: ‘No One Is Safe’ From The Black Plague a Democrat,Is Red_Herring PRESENT in the edited text?,,,
23,"David Duke, the white supremacist icon and former Grand Wizard of the Ku Klux Klan, has been denounced by many as a hatemonger, and rightfully so. However, one individual who represents the Muslim community of South Florida, Sofian Zakkout, is enamored with Duke and has been promoting Duke’s bigoted work for many years. Last month, once again, Zakkout chose to showcase this work by posting four consecutive Duke videos on his (Zakkout’s) personal Facebook page. The postings can be rivaled only by Zakkout’s own documented bigotry.","David Duke, the white supremacist icon and former Grand Wizard of the Ku Klux Klan, has been denounced by many as a hatemonger, and rightfully so. However, one individual who represents the Muslim community of South Florida, Sofian Zakkout, is with Duke and has been promoting Duke’s bigoted work for many years. Last month, once again, Zakkout chose to showcase this work by posting four consecutive Duke videos on his (Zakkout’s) personal Facebook page. The postings can be rivaled only by Zakkout’s own documented bigotry.",Is Loaded_Language ABSENT from the edited text?,,,
24,"According to a report by Fox News, Hogrefe said authorities had conducted surveillance of the compound while looking for the missing boy before he decided Thursday to get a search warrant. The warrant was immediately obtained after a Georgia investigator forwarded a message in which someone at the compound reportedly told another person that people who were living in the shanty were starving and needed water. “The message sent to a third party simply said in part, ‘We are starving and need food and water,’” Hogrefe said. “I absolutely knew that we couldn’t wait on another agency to step up and we had to go check this out as soon as possible.”","According to a report by Fox News, Hogrefe said authorities had conducted surveillance of the compound while looking for the missing boy before he decided Thursday to get a search warrant. The warrant was immediately obtained after a Georgia investigator forwarded a message in which someone at the compound reportedly told another person that people who were living in were starving and needed water. “The message sent to a third party simply said in part, ‘We are starving and need food and water,’” Hogrefe said. “I absolutely knew that we couldn’t wait on another agency to step up and we had to go check this out as soon as possible.”",Is Name_Calling-Labeling ABSENT from the edited text?,,,
25,"The law caught up. Less than a week later, Wilson received a letter from the US State Department demanding that he take down his printable-gun blueprints or face prosecution for violating federal export controls. Under an obscure set of US regulations known as the International Trade in Arms Regulations (ITAR), Wilson was accused of exporting weapons without a license, just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet. He took Defcad.com offline, but his lawyer warned him that he still potentially faced millions of dollars in fines and years in prison simply for having made the file available to overseas downloaders for a few days. “I thought my life was over,” Wilson says.","The law caught up. Less than a week later, Wilson received a letter from the US State Department demanding that he take down his printable-gun blueprints or face prosecution for violating federal export controls. Under an obscure set of US regulations known as the International Trade in Arms Regulations (ITAR), Wilson was accused of exporting weapons without a license, just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet. He took Defcad.com offline, but his lawyer warned him that he still potentially faced millions of dollars in fines and years made the file available to overseas downloaders for a few days. “I thought my life was over,” Wilson says.","Are the techniques unchanged by the edit? Original techniques: Appeal_to_Fear-Prejudice, Exaggeration-Minimisation, Name_Calling-Labeling, Straw_Man",,,
26,"“‘Allow due process so no one’s rights are trampled, but the ability to go to court, obtain an order and then collect not only the firearms but any weapons,’ Pence said.","“‘Allow due process so no one’s rights are trampled, but the ability to go to court, obtain an order and then collect not only the firearms but We must not be deceived by the Quranic verses deemed tolerant, Pence said.",Are the techniques unchanged by the edit? Original techniques: Loaded_Language,,,
27,"Jean, who lived on the fourth floor of the South Side Flats in the Cedars, was home alone when Guyger mistook his apartment for hers, the affidavit says. Guyger lived on the third floor, directly beneath his apartment, and mistakenly parked on the fourth floor after finishing a shift at the Dallas Police Department, the affidavit says. When she arrived at Jean's door, Guyger entered a unique door key with an electronic chip into the keyhole, the affidavit says. The door was already ajar, so the force of pushing the key inside opened the door, according to the affidavit. The affidavit says the apartments' ""respective interior floorplans are in most ways identical or extremely similar.""","Jean, who lived on the fourth floor of the South Side Flats in the Cedars, was home alone when Guyger mistook his apartment for hers, the affidavit says. Guyger lived on the third floor, directly beneath his apartment, and mistakenly parked on the fourth floor after finishing a shift at the Dallas Police Department, the affidavit says. When she arrived at Jean's door, Guyger entered a unique door key with an electronic chip into the keyhole, the affidavit says. Will Brett Kavanaugh be confirmed The door was already ajar, so the force of pushing the key inside opened the door, according to the affidavit. The affidavit says the apartments' ""respective interior floorplans are in most ways identical or extremely similar.""",Are the techniques unchanged by the edit? Original techniques: Repetition,,,
28,"The UK Home Office also admitted Shaykh Hamza Sodagar into the country, despite the fact that he has said: “If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above.”","The UK Home Office also admitted Shaykh Hamza Sodagar into the country, #NeverAgain despite the fact that he has said: “If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above.”",Is Slogans PRESENT in the edited text?,,,
29,That notion read more like a warning — behave or else — and the Correspondents’ Association seemed unmoved.,That notion read more like a warning — behave or else — and the Groups of Migrants Heading to San Diego Association seemed unmoved.,Are the techniques unchanged by the edit? Original techniques: False_Dilemma-No_Choice,,,
30,"On January 25th, Zakkout posted onto his personal Facebook page a video clip of a speech made by Steve Anderson, the pastor of the Faithful Word Baptist Church in Tempe, Arizona. Anderson is notorious for calling for the killing of gays to end AIDS. In the clip, Anderson states the following: “And the Jews were scattered into all nations for literally 2000 years, right? For 1800 sum odd years. And by the way, everywhere they were scattered, they were persecuted, hated, treated badly. Why? ‘Cause God’s blessing them? No. ‘Cause they’re under the curse of God for having rejected the Lord Jesus Christ.”","On January 25th, Zakkout posted onto his personal Facebook page a video clip of a speech made by Steve Anderson, the pastor of the Faithful Word Baptist Church in Tempe, Arizona. to end AIDS. In the clip, Anderson states the following: “And the Jews were scattered into all nations for literally 2000 years, right? For 1800 sum odd years. And by the way, everywhere they were scattered, they were persecuted, hated, treated badly. Why? ‘Cause God’s blessing them? No. ‘Cause they’re under the curse of God for having rejected the Lord Jesus Christ.”",Are the techniques unchanged by the edit? Original techniques: Causal_Oversimplification,,,
31,"Now to the United States. Obviously, the first to have been informed of the measures taken by Pope Benedict was McCarrick’s successor in Washington See, Cardinal Donald Wuerl, whose situation is now completely compromised by the recent revelations regarding his behavior as Bishop of Pittsburgh.","Now to the United States. Every American owes it to himself to read that manual Obviously, the first to have been informed of the measures taken by Pope Benedict was McCarrick’s successor in Washington See, Cardinal Donald Wuerl, whose situation is now completely compromised by the recent revelations regarding his behavior as Bishop of Pittsburgh.",Is Flag_Waving PRESENT in the edited text?,,,
32,"So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males. Francis cannot “simply fire” even Cardinal Wuerl, who covered up crimes of homosexual predation by the priests he transferred elsewhere while Archbishop of Pittsburgh, and who authorized payment of $900,000 in hush money to bury sexual abuse claims against a homosexual priest involved in the production of child pornography.","entire religion to be at war with the entire non-Muslim world So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males. Francis cannot “simply fire” even Cardinal Wuerl, who covered up crimes of homosexual predation by the priests he transferred elsewhere while Archbishop of Pittsburgh, and who authorized payment of $900,000 in hush money to bury sexual abuse claims against a homosexual priest involved in the production of child pornography.",Is Exaggeration-Minimisation PRESENT in the edited text?,,,
33,"“One other thing that is very striking to me is the complete loss of our rights. There are no options in this document, no choices, no recourse. It’s all being done to us. In this day and age, when Pope Francis is proclaiming, if not Liberty, Equality, and Fraternity, then at least license and ‘choice’ for all, plus the ‘rights’ of women, here our rights are completely taken away.”","“One other thing that is very striking to me is the complete loss of our rights. There are no options in this document, no choices, no recourse. It’s all being done to us. In this day and age, when Pope Francis is proclaiming, if not Liberty, Equality, and Fraternity, then at least license and ‘choice’ for all, plus the ‘rights’ of women, here our rights are completely taken away.” no more!",Is Slogans PRESENT in the edited text?,,,
34,"Sharp barbed wire fences are being erected along the US-Mexico border as thousands of US troops, supported by drones and choppers, prepare to repel what the country’s commander-in-chief called a looming migrant “invasion” approaches the United States border. Anyone who doubts this is an invasion only need look at the size of the caravan and those that make up the majority of those marching towards our border. They are predominantly young men, there are few woman and children that make up the mass of the thousands that will overtake the border.","Sharp barbed wire fences are being erected along the US-Mexico border as thousands of US troops, supported by drones and choppers, prepare to repel what the country’s commander-in-chief called a looming migrant “invasion” approaches the United States border. Anyone who doubts this is an invasion only need look at the size of the caravan and those that make up the majority of those marching towards our border. They are predominantly young men, there are few woman and children that make up the mass of the thousands that.",Is Loaded_Language ABSENT from the edited text?,,,
35,"I'm sure NewsGuard, Yemile Bucay, Anna-Sophie Harling and Amy Westfeldt need to update this in the light of the obvious lies and editing of the Acosta video and decades of documented, outright lies and propaganda by the Clown News Network, but you can't expect real transparency from an outlet like Newsguard whose writers aren't transparent about their own political bias, can you? Nope, you can't, and you can't expect it when some of those writers write for other publications that don't measure up to NewsGuard's standards either.","I'm sure NewsGuard, Yemile Bucay, Anna-Sophie Harling and Amy Westfeldt need to update this in the light of the obvious lies and editing of the Acosta video and decades of documented, outright lies and propaganda by the However, he said any Jewish students thinking of being involved in student politics or activism “will have encounters that are profoundly disturbing and unpleasant, but you can't expect real transparency from an outlet like Newsguard whose writers aren't transparent about their own political bias, can you? Nope, you can't, and you can't expect it when some of those writers write for other publications that don't measure up to NewsGuard's standards either.",Is Appeal_to_Fear-Prejudice PRESENT and Name_Calling-Labeling ABSENT in the edited text?,,,
